"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21"
"51" "TREGO" 17 0.3751082 0.3683983 0.3660173 0.2893939 0.2893939 0.2893939 0.2893939 0.2893939 0.2893939 0.2893939 0.2893939 0.2893939 0.2893939 0.2893939 0.2893939 0.2893939 0.2893939 0.2893939 0.2893939
"52" "EGO" 18 0.3590909 0.3372294 0.3372294 0.3372294 0.3372294 0.3372294 0.3372294 0.3372294 0.3372294 0.3361472 0.3361472 0.3361472 0.2900433 0.2900433 0.2900433 0.2900433 0.2900433 0.2751082 0.2751082
"53" "RSO" 18 0.3590909 0.290844852997623 0.290727136980211 0.290986797802317 0.290263714083405 0.290335138283371 0.290691348097454 0.29048365220095 0.290994986224854 0.290457548814527 0.290349052284313 0.290818930864734 0.290800856637935 0.290383512052874 0.290899324064776 0.290879311091666 0.291013748700432 0.290307199768423 0.290402450272748
"54" "TREGO" 18 0.3590909 0.3305195 0.3225108 0.3225108 0.3225108 0.3136364 0.3136364 0.3136364 0.2945887 0.2945887 0.2945887 0.2945887 0.2945887 0.2945887 0.2945887 0.2945887 0.2945887 0.2945887 0.2945887
"55" "EGO" 19 0.3119048 0.3075758 0.3075758 0.3075758 0.3075758 0.3075758 0.3075758 0.3060606 0.3060606 0.3060606 0.3060606 0.3060606 0.3060606 0.3060606 0.3060606 0.3060606 0.3060606 0.3060606 0.3060606
"56" "RSO" 19 0.3119048 0.285000752997623 0.284883036980211 0.285142697802317 0.284419614083404 0.281460738283371 0.281816948097454 0.28160925220095 0.282120586224854 0.281583148814527 0.281474652284313 0.281944530864734 0.281926456637935 0.281509112052874 0.282024924064776 0.282004911091666 0.282139348700432 0.281432799768423 0.281528050272748
"57" "TREGO" 19 0.3119048 0.3119048 0.3119048 0.2885281 0.2885281 0.2885281 0.2885281 0.2885281 0.2885281 0.2885281 0.2885281 0.2885281 0.2885281 0.2885281 0.2885281 0.2885281 0.2885281 0.2885281 0.2885281
"58" "EGO" 20 0.2997835 0.2997835 0.2997835 0.2997835 0.2997835 0.2997835 0.2997835 0.2997835 0.2997835 0.2997835 0.2997835 0.2807359 0.2807359 0.2761905 0.2761905 0.2761905 0.2761905 0.2761905 0.2761905
"59" "RSO" 20 0.2997835 0.280888152997623 0.280770436980211 0.281030097802317 0.280307014083404 0.280378438283371 0.280734648097454 0.28052695220095 0.281038286224854 0.272492248814527 0.272383752284313 0.272853630864734 0.272835556637935 0.272418212052874 0.272934024064776 0.272914011091666 0.273048448700432 0.272341899768423 0.272437150272748
"60" "TREGO" 20 0.2997835 0.2997835 0.2997835 0.288961 0.288961 0.288961 0.288961 0.288961 0.288961 0.288961 0.288961 0.288961 0.288961 0.288961 0.288961 0.288961 0.2805195 0.2805195 0.2805195
